Ensembl,HGNC,Entrez,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
ENSG00000187134,AKR1C1,1645.00,29.00,1300.00,189.00,26.00,3343.00,199.00,184.00,38.00,157.00,12.00,1073.00,5578.00,1342.00,9377.00,7627.00,1135.00,5952.00,4327.00,382.00,13358.00
ENSG00000169245,CXCL10,3627.00,16739.00,2980.00,242.00,155.00,357.00,3766.00,980.00,3113.00,450.00,48.00,68.00,429.00,50.00,16.00,74.00,289.00,13.00,65.00,23.00,50.00
ENSG00000204262,COL5A2,1290.00,9490.00,9741.00,4915.00,1057.00,12625.00,10941.00,3966.00,916.00,4989.00,2232.00,3102.00,11593.00,8733.00,5251.00,3613.00,1365.00,4524.00,2374.00,1649.00,6675.00
ENSG00000136859,ANGPTL2,23452.00,1090.00,2439.00,1001.00,270.00,1530.00,1201.00,1121.00,197.00,866.00,416.00,4354.00,8054.00,2932.00,10475.00,8170.00,2821.00,5807.00,5220.00,1017.00,13314.00
ENSG00000150753,CCT5,22948.00,6746.00,15135.00,6481.00,3167.00,7105.00,10279.00,14793.00,9261.00,5809.00,6322.00,3740.00,3632.00,2881.00,3746.00,3380.00,2449.00,3722.00,2821.00,4106.00,3900.00
ENSG00000177697,CD151,977.00,6299.00,4782.00,7009.00,6837.00,3591.00,2808.00,1860.00,6529.00,8246.00,5179.00,8250.00,8474.00,5179.00,10806.00,15415.00,3593.00,9242.00,7218.00,11184.00,15832.00
ENSG00000118523,CTGF,1490.00,4512.00,10306.00,3229.00,833.00,4385.00,6878.00,2430.00,4923.00,3519.00,761.00,10051.00,4624.00,14260.00,5230.00,10460.00,3247.00,9213.00,11938.00,5039.00,6405.00
ENSG00000117298,ECE1,1889.00,2656.00,4542.00,2398.00,2243.00,3448.00,2966.00,1557.00,1714.00,2253.00,1443.00,14445.00,6417.00,10832.00,8212.00,9003.00,6192.00,6700.00,8085.00,10855.00,7495.00
ENSG00000101439,CST3,1471.00,2649.00,1850.00,1815.00,474.00,1269.00,1771.00,2416.00,2854.00,2599.00,1454.00,8033.00,12026.00,3999.00,7351.00,12207.00,4993.00,7424.00,8303.00,5395.00,10648.00
ENSG00000133401,PDZD2,23037.00,139.00,524.00,304.00,279.00,1201.00,865.00,264.00,84.00,61.00,1482.00,678.00,4253.00,1573.00,12385.00,3090.00,1811.00,5795.00,2389.00,433.00,12667.00
ENSG00000116690,PRG4,10216.00,62.00,37.00,101.00,9.00,62.00,26.00,600.00,6.00,7.00,13.00,206.00,16775.00,59.00,2374.00,2184.00,43.00,1382.00,822.00,2.00,3124.00
ENSG00000041982,TNC,3371.00,3961.00,10367.00,6226.00,396.00,686.00,10544.00,2441.00,563.00,2265.00,658.00,11993.00,2108.00,8812.00,3704.00,4074.00,5560.00,6158.00,4479.00,9058.00,704.00
ENSG00000197747,S100A10,6281.00,7353.00,16284.00,6860.00,2915.00,5458.00,3872.00,5561.00,5675.00,5344.00,4369.00,4215.00,13220.00,2127.00,6093.00,9448.00,2823.00,5765.00,5879.00,2935.00,12247.00
ENSG00000091831,ESR1,2099.00,144.00,139.00,220.00,18.00,338.00,73.00,44.00,28.00,20.00,373.00,6816.00,458.00,3897.00,799.00,5805.00,8472.00,12497.00,7657.00,1090.00,753.00
ENSG00000105373,GLTSCR2,29997.00,1647.00,2626.00,6256.00,2565.00,1290.00,803.00,1954.00,9210.00,2651.00,10277.00,10739.00,4071.00,9287.00,4589.00,9330.00,6509.00,4295.00,7480.00,13601.00,4266.00
ENSG00000188643,S100A16,140576.00,4365.00,9743.00,2457.00,520.00,579.00,2635.00,4046.00,3428.00,2752.00,16719.00,2725.00,2408.00,2079.00,1330.00,2645.00,1668.00,1431.00,1940.00,5519.00,1813.00
ENSG00000133872,TMEM66,51669.00,4578.00,4014.00,2614.00,4333.00,20465.00,6621.00,3332.00,5194.00,2560.00,7050.00,7833.00,4945.00,6868.00,5926.00,7363.00,7720.00,6336.00,7163.00,6843.00,5308.00
ENSG00000134107,BHLHE40,8553.00,3518.00,5503.00,1223.00,238.00,5153.00,4350.00,3600.00,819.00,2597.00,2449.00,6735.00,1717.00,15037.00,4344.00,4791.00,4464.00,6675.00,12780.00,7266.00,2507.00
ENSG00000166033,HTRA1,5654.00,2566.00,4150.00,2782.00,742.00,5155.00,3885.00,1310.00,1113.00,572.00,794.00,6512.00,7980.00,3497.00,9938.00,10187.00,3906.00,6568.00,5815.00,2772.00,14439.00
ENSG00000140092,FBLN5,10516.00,548.00,1066.00,1089.00,460.00,767.00,1280.00,566.00,16633.00,1168.00,139.00,1940.00,4883.00,2407.00,6111.00,3826.00,2000.00,4299.00,3313.00,1869.00,5684.00
